word	vol_lv	count
NO SUBCOMMODITY DESCRIPTION	3	2092
GRATED CHEESE	3	2118
STEAK & WORCHESTER SAUCE	3	2286
HOT MUSTARD/SPECIALTY MUSTAR	3	1246
PASTA/GRAIN SALADS - BULK	3	330
ANGUS BEEF	3	473
FLAVORED RUM (42 UNDER PROOF)	2	127
TRADITIONAL RUM (42 UNDER PROO	2	77
DAIRY CASE 100% PURE JUICE OTH	3	1487
FRZN BRD STICK/PORTON	3	2297
SNACK MIX	3	1378
GROUND COFFEE	4	5457
FRZN HASHBROWN POTATOES	3	1295
DESIGNER PAPER: MEDIUM WEIGHT	3	1443
SMOKED/COOKED	4	7200
HOT DOG BUNS	4	8111
FRZN TATER TOTS/OTHER EXTRUDED	3	1493
PREMIUM - MEAT	4	4251
BATHROOM CLEANERS - SPECIALTY	3	587
NOODLE SIDE DISH MIXES	4	4463
CANDLES	3	802
MULTI-PACK COOKIES	3	1113
LOIN - CHOPS BONELESS	3	1277
ROUND/LEG - STK/CHP/SLC	2	43
OVEN	3	471
PEARS	3	1537
VEGETABLE/SALAD OIL	4	3554
MEXICAN SOFT TORTILLAS AND WRA	3	2083
GRAPEFRUIT	3	1261
CANNED MILK	3	1536
PINEAPPLE	4	3568
RICE SIDE DISH MIXES DRY	4	7123
RYE BREADS	3	2409
OTHER - FULLY COOKED	2	307
CANISTER POTATO/TORT CHIPS	4	5799
PLSTC CTLRYTBLCLTHSTTHPKSST	3	2419
SALAD DRESSING MIXES	3	864
BAGGED CHEESE SNACKS	4	3361
CHEESE: NATURAL BULK	4	5769
FRZN FRENCH FRIES	4	6329
CATSUP	4	5702
POPCORN - MICROWAVE	4	4212
LIQUID DISH DETERGENT	4	3814
FEM. HYGN. TAMPONS	3	1554
MENS SS SPT SHIRT	1	21
PRINT FILM	2	257
CHEESE:SPECIALTY PREPACK	3	2122
ORGANIC TOMATOES	2	123
SEAFOOD-MISC-SAUCES/MARIN-WET	3	733
BUTTER SPRAY CRACKER (RITZ/CLU	4	5292
DIET CNTRL BARS NUTRITIONAL	3	1012
ITALIAN FOODS	3	327
VEGETABLE SALADS - PREPACK	3	2239
COOKIES: MESSAGE	2	150
MISC REFRIG DOUGH PRODUCTS	3	1088
SPECIALTY CRACKERS	3	952
PREGNANCY TEST KITS	2	121
BREAD:LOAF/SNACK	3	884
CANDY BARS (MULTI PACK)	4	6742
COTTON COTTON SWABS	3	629
TOILET BOWL MANUAL	3	862
APPLE SAUCE	3	1598
AUSTRALIAN/NZ WINES	3	1051
N/A DEOD SPRAY/GEL DEOD	3	418
BURRITOS	3	2161
INFLATABLES	2	78
REFRIGERATED MEXICAN PRODUCTS	3	2603
FOAM PLATES	3	1824
GROUND TURKEY	3	1111
PATTIES	3	2307
POWDER LAUNDRY DETERGENT	3	910
MEXICAN BEANS REFRIED	3	1680
RAMEN NOODLES/RAMEN CUPS	4	7315
SAUCE MIXES GRAVY MIXES DRY	4	5305
TOMATO SAUCE	4	3908
MUSHROOMS WHITE SLICED PKG	3	1627
TOMATOES: STEWED/DICED/CRMD	4	5988
KABOBS	2	160
SEASONAL MISCELLANEOUS	3	1767
BAGS/TAGS/TISSUE/BOXES	3	418
WRAP	2	223
XMAS PLUSH	2	145
BOXED CHRISTMAS CARDS	2	206
SEASONAL CANDY BAGS NON-CHOCOL	3	1104
BREAD:ITALIAN/FRENCH	4	4503
FROZEN FRUIT PIES  & COBBLERS	3	1204
DISTILLED WATER	3	807
BABY FOOD JUNIOR ALL BRANDS	4	6173
KIWI FRUIT	3	828
ALL FAMILY CEREAL	4	11858
DIPILATORIES	2	131
MISC BAG SNACKS	3	2028
SEAFOOD-FRE-SALMON	3	744
NATURAL CHEESE EXACT WT CHUNKS	4	9309
MISCELLANEOUS CANDY (INCLUDING	3	2726
WRITING INSTRUMENTS	3	1066
ORGANIC SALAD MIX	3	1451
CEREAL BARS	4	3880
MULT PK BAG SNACKS	3	826
REFRIGERATED PUDDING	4	3886
RASPBERRIES	3	931
MANGO	3	398
FRZN WHIPPED TOPPING	4	3790
BLACKBERRIES	3	410
FROZEN CAKES/ALL TYPES INCLUDI	3	746
BLUEBERRIES	3	1793
ALUMINUM FOIL	3	2771
CHEESE CRACKERS (CHEEZ-ITS/GOL	4	7842
CARBONATED WATER - FLVRD SWEET	3	1408
MISC: CHEESECAKE MOUSSE MIXES	2	248
SFT DRNK MLT-PK BTL CARB (EXCP	4	6646
DISPOSABLE FOILWARE	3	1789
NON DAIRY CREAMER: DRY	3	2627
SEASONED PORK	3	439
VANILLA WAFER/KIDS COOKIES	3	2551
RELISHES	3	1331
BOLOGNA	4	6572
AUTHENTIC PASTA RICE BEANS	2	183
HOT CHOCOLATE COCOA MIX	3	1813
MEXICAN TACO TOSTADO SHELLS	3	1469
CUBED MEATS	3	989
HAMS-WHOLE BONE-IN	2	118
PIES: PUMPKIN/CUSTARD	3	768
REFRIGERATED COOKIES-SEASONAL	3	713
APPLES GRANNY SMITH (BULK&BAG)	3	2358
BROWNIE MIX	3	2381
GRAHAM CRACKERS	3	1776
FRZN BOXED VEGETABLES- VALUE A	4	4148
PROCESSED OTHER	3	813
NON-CARB WATER FLVR - DRNK/MNR	3	1434
RAISINS	3	1864
FRUIT DRINKS: CANNED & GLASS (	3	1427
GRAVY CAN/GLASS	3	2599
CONES	3	2273
INSTANT OATMEAL	4	3885
TOMATO PASTE	3	1718
ENERGY DRINK	3	1413
RICE - DRY BAG AND BOX	3	1571
GRAPEFRUIT JUICE (50% AND UNDE	2	282
NATURAL BEEF	3	1693
TEA SWEETENED	3	1997
VARIETY PACK	3	1140
GRAPES RED	4	5558
FITNESS&DIET - BARS	3	2556
DOG BISCUITS (HARD BISCUIT)	3	1415
DOG & CAT CHEMICALS	2	315
PIZZA/PREMIUM	4	5639
SEAFOOD-FRZ-RAW SHLFSH-OTHER	2	193
AUTO DISH DETERGENT - GEL	3	1236
DRY DOG FOOD SUPER PREM (ONE/N	3	800
BEEF - FULLY COOKED	3	740
FRUIT BOWL AND CUPS	4	7806
SWEETENERS	3	1822
RTS SOUP: CHUNKY/HOMESTYLE ET	4	12848
COLD AND FLU	3	1241
FRZN SS PREMIUM ENTREES/DNRS/N	4	15322
VINEGAR ALL-EXCEPT WINE/RIC	3	1333
HAIR CONDITIONERS AND RINSES	3	2838
FLASHLIGHTS	2	75
MEAT: CHICKEN BULK	3	528
PROTIEN SALADS - BULK	3	708
APPLES OTHER (BULK&BAG)	3	1892
LOAF CHEESE	3	1981
STUFFING MIXES	3	2714
PEACHES	3	2201
PREMIUM BREAD	4	5279
STOCKINGS/TREE SKIRTS/HATS	2	108
LAXATIVES	3	1286
DECOR	3	663
POTTED MEATS AND SPREADS	3	419
MEXICAN DINNERS AND FOODS	3	1715
LEGGS	3	320
DRY	3	788
MEAT: BEEF BULK	3	1926
EASTER PLUSH	2	75
FEEDING ACCESSORIES BOTTLES	3	1025
PREPAID WIRELESS CARDS	3	850
VITAMIN - MULTIPLE COMBIN	3	680
DRY CAT FOOD (CAT CHOW/FRISKIE	3	2295
SNUFF	2	244
WATERMELON SEEDLESS WHOLE	3	1387
FRESH	3	2280
CANTALOUPE WHOLE	3	2811
GRND/PATTY - CHUCK	3	376
PASTA/GRAIN SALADS - PREPACK	3	537
CHERRIES RED	3	882
MISCELLANEOUS H & B AIDS	3	671
PUZZLES	1	23
COOKIES: HOLIDAY/SPECIAL OCCAS	3	918
ORIENTAL FOODS AND MEALS	2	305
POULTRY - STEW W/DUMPLINGS/ A	2	237
CHUNK MEATS - ALL	3	1021
SALADS	2	273
SANDWICHES - (COLD)	3	872
DIET/LIGHT BREAD	3	2010
SAL: DESSERTS-PREPACK	3	343
FLOUR: WHITE & SELF RISING	3	2249
COFFEE FILTERS	3	1439
YEAST: DRY	2	309
FOOD STORAGE BAGS	3	1555
LIQUEURS/SPECIALTIES (42 UNDER	2	290
DIET CONTROL TABLETS/CAPSULE	2	128
ORIENTAL NOODLES RICE	3	346
RAZORS AND BLADES	3	2073
TEA BAGS HERBAL & FLAVORED	3	1475
ORANGES NAVELS ALL	4	4295
PURE EXTRACTS	3	493
INDOOR FLOODS AND SPOTS	2	215
PANCAKE MIXES	3	1747
TEA BAGS & BULK TEA (SUPPLEMEN	2	186
NECTARINES YELLOW FLESH	3	1136
CHILDREN S ACTIVITY	3	629
APPLICATORS	2	284
FLUID MILK	3	1177
SELECT BEEF	4	3344
SHAMPOO	4	5031
SW GDS:COFFEE CAKES	3	888
SOFT DRINKS CAN NON-CARB (EXCE	3	1636
BATHROOM CLEANERS - GENERAL	3	1089
MELON HALVES/QUARTERS	3	2247
ECONOMY - MEAT	4	3985
HAND AND BODY LOTIONS	3	1004
DAIRY CASE CITRUS PNCH/OJ SUBS	3	1779
KITS	3	1046
CARROTS SLICED/SHRED/STICKS	2	314
